
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1976,NFL,New England Patriots*,11,3,0,Lost Div,376,236,140,Fairbanks,Hannah,Grogan,Cunningham,Stingley,2,8,11,11,3,4,10,28,10.0,-1.4,8.6,6.5,2.2
1975,NFL,New England Patriots,3,11,0,,258,358,-100,Fairbanks,Sanders,Grogan,Cunningham,Vataha,14,13,22,14,26,21,15,26,-7.1,2.9,-4.3,-2.3,-2.0
1974,NFL,New England Patriots,7,7,0,,348,289,59,Fairbanks,Herron,Plunkett,Herron,Vataha,2,6,20,13,15,9,9,26,4.2,0.6,4.8,6.6,-1.8
1973,NFL,New England Patriots,5,9,0,,258,300,-42,Fairbanks,Plunkett,Plunkett,Cunningham,Rucker,16,17,16,18,23,15,18,26,-3.0,-3.0,-6.0,-2.6,-3.4
1972,NFL,New England Patriots,3,11,0,,192,446,-254,MazurBengtson,Garrett,Plunkett,Ashton,Rucker,24,21,26,26,25,26,26,26,-18.1,0.7,-17.4,-6.3,-11.1
1971,NFL,New England Patriots,6,8,0,,238,325,-87,Mazur,Plunkett,Plunkett,Garrett,Vataha,19,21,21,15,17,22,21,26,-6.2,1.1,-5.1,-2.1,-3.0
1970,NFL,Boston Patriots,2,12,0,,149,361,-212,RushMazur,Morris,Kapp,Nance,Sellers,26,26,26,23,25,26,26,26,-15.1,-0.7,-15.9,-9.1,-6.8
1969,AFL,Boston Patriots,4,10,0,,266,316,-50,Rush,Garrett,Taliaferro,Nance,Sellers,8,10,6,9,4,7,9,10,-3.6,-0.5,-4.0,-2.2,-1.8
1968,AFL,Boston Patriots,4,10,0,,229,406,-177,Holovak,Mitchell,Sherman,Nance,Whalen,8,9,10,7,10,10,8,10,-12.6,-0.2,-12.8,-5.9,-6.9
1967,AFL,Boston Patriots,3,10,1,,280,389,-109,Holovak,Nance,Parilli,Nance,Whalen,5,5,7,6,9,7,6,9,-7.8,1.1,-6.7,-1.7,-5.0
1966,AFL,Boston Patriots,8,4,2,,315,283,32,Holovak,Buoniconti,Parilli,Nance,Cappelletti,6,6,3,5,4,4,5,9,2.3,0.3,2.5,-0.4,2.9
1965,AFL,Boston Patriots,4,8,2,,244,302,-58,Holovak,Buoniconti,Parilli,Nance,Cappelletti,8,8,5,3,8,6,6,8,-4.1,0.5,-3.6,-4.1,0.5
1964,AFL,Boston Patriots,10,3,1,,365,297,68,Holovak,Cappelletti,Parilli,Garron,Cappelletti,3,6,2,4,2,2,4,8,4.9,-0.6,4.2,2.6,1.7
1963,AFL,Boston Patriots*,7,6,1,Lost Champ,327,257,70,Holovak,Antwine,Parilli,Garron,Colclough,4,6,2,1,4,4,4,8,5.0,-0.6,4.4,-0.5,4.9
1962,AFL,Boston Patriots,9,4,1,,346,295,51,Holovak,Eisenhauer,Parilli,Burton,Colclough,4,3,4,5,3,3,3,8,3.6,-0.5,3.2,1.3,1.9
1961,AFL,Boston Patriots,9,4,1,,413,313,100,HolovakSaban,Cappelletti,Songin,Lott,Cappelletti,2,4,3,3,2,3,4,8,7.1,-0.9,6.2,4.8,1.4
1960,AFL,Boston Patriots,5,9,0,,286,349,-63,Saban,Cappelletti,Songin,Miller,Colclough,8,7,5,4,4,6,7,8,-4.5,0.6,-3.9,-3.7,-0.2
