
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1984,NFL,St. Louis Cardinals,9,7,0,,423,345,78,Hanifan,Lomax,Lomax,Anderson,Green,4,3,17,8,17,8,3,28,4.9,0.5,5.4,6.2,-0.9
1983,NFL,St. Louis Cardinals,8,7,1,,374,428,-54,Hanifan,Anderson,Lomax,Anderson,Green,9,17,25,6,15,21,15,28,-3.4,2.3,-1.1,2.5,-3.6
1982,NFL,St. Louis Cardinals*,5,4,0,Lost WC,135,170,-35,Hanifan,Greer,Lomax,Anderson,Tilley,25,23,12,14,16,23,22,28,-3.9,1.2,-2.7,-4.1,1.4
1981,NFL,St. Louis Cardinals,7,9,0,,315,408,-93,Hanifan,Anderson,Hart,Anderson,Tilley,18,19,27,23,20,25,24,28,-5.8,1.1,-4.7,0.1,-4.8
1980,NFL,St. Louis Cardinals,5,11,0,,299,350,-51,Hanifan,Anderson,Hart,Anderson,Tilley,19,22,21,19,17,20,19,28,-3.2,0.8,-2.4,-1.7,-0.7
1979,NFL,St. Louis Cardinals,5,11,0,,307,358,-51,WilkinsonWilson,Anderson,Hart,Anderson,Tilley,17,10,21,16,21,20,13,28,-3.2,0.4,-2.7,-0.7,-2.0
1978,NFL,St. Louis Cardinals,6,10,0,,248,296,-48,Wilkinson,Dierdorf,Hart,Otis,Tilley,23,7,15,13,7,23,7,28,-3.0,0.5,-2.5,-2.6,0.0
1977,NFL,St. Louis Cardinals,7,7,0,,272,287,-15,Coryell,Metcalf,Hart,Metcalf,Gray,11,7,23,24,19,18,15,28,-1.1,-0.3,-1.4,2.6,-4.0
1976,NFL,St. Louis Cardinals,10,4,0,,309,267,42,Coryell,Hart,Hart,Otis,Harris,8,3,16,12,14,12,6,28,3.0,-0.4,2.6,3.5,-1.0
1975,NFL,St. Louis Cardinals*,11,3,0,Lost Div,356,276,80,Coryell,Metcalf,Hart,Otis,Gray,7,5,11,18,16,9,10,26,5.7,-2.2,3.5,3.4,0.1
1974,NFL,St. Louis Cardinals*,10,4,0,Lost Div,285,218,67,Coryell,Hart,Hart,Metcalf,Gray,9,10,8,17,4,7,12,26,4.8,1.0,5.8,2.8,3.0
1973,NFL,St. Louis Cardinals,4,9,1,,286,365,-79,Coryell,Anderson,Hart,Anderson,Smith,11,12,23,26,18,19,25,26,-5.6,2.3,-3.3,1.8,-5.1
1972,NFL,St. Louis Cardinals,4,9,1,,193,303,-110,Hollway,Anderson,Cuozzo,Anderson,Gillette,23,25,18,25,23,21,24,26,-7.9,2.2,-5.7,-4.5,-1.2
1971,NFL,St. Louis Cardinals,4,9,1,,231,279,-48,Hollway,Gilliam,Hart,Lane,Gilliam,20,14,15,20,23,17,19,26,-3.4,-0.8,-4.2,-4.0,-0.2
1970,NFL,St. Louis Cardinals,8,5,1,,325,228,97,Winner,Lane,Hart,Lane,Gilliam,4,3,5,10,11,4,5,26,6.9,0.5,7.4,3.8,3.6
1969,NFL,St. Louis Cardinals,4,9,1,,314,389,-75,Winner,Gilliam,Johnson,Edwards,Gilliam,5,9,14,16,10,12,16,16,-5.4,-1.7,-7.0,0.8,-7.8
1968,NFL,St. Louis Cardinals,9,4,1,,325,289,36,Winner,Smith,Hart,Crenshaw,Smith,4,7,8,12,14,7,10,16,2.6,-0.7,1.8,1.7,0.1
1967,NFL,St. Louis Cardinals,6,7,1,,333,356,-23,Winner,Smith,Hart,Roland,Smith,8,4,12,10,16,10,6,16,-1.6,-0.7,-2.4,1.4,-3.8
1966,NFL,St. Louis Cardinals,8,5,1,,264,265,-1,Winner,Wilson,Johnson,Roland,Smith,11,13,6,1,10,6,8,15,-0.1,-2.3,-2.3,-5.7,3.4
1965,NFL,St. Louis Cardinals,5,9,0,,296,309,-13,Lemm,Fischer,Johnson,Triplett,Conrad,9,6,7,9,8,8,6,14,-0.9,-6.1,-7.0,-4.6,-2.4
1964,NFL,St. Louis Cardinals,9,3,2,,357,331,26,Lemm,Fischer,Johnson,Crow,Conrad,3,2,11,8,6,5,3,14,1.9,-2.5,-0.6,2.5,-3.1
1963,NFL,St. Louis Cardinals,9,5,0,,341,283,58,Lemm,Johnson,Johnson,Childress,Randle,4,4,6,5,7,6,4,14,4.1,-0.1,4.0,1.2,2.8
1962,NFL,St. Louis Cardinals,4,9,1,,287,361,-74,Lemm,Hill,Johnson,Crow,Randle,10,3,10,9,14,11,7,14,-5.3,-2.0,-7.3,-3.7,-3.6
1961,NFL,St. Louis Cardinals,7,7,0,,279,267,12,IvyWillseyProchaskaDrulis,Norton,Etcheverry,Gautt,Randle,10,13,4,5,5,7,12,14,0.9,-2.4,-1.5,-2.6,1.1
1960,NFL,St. Louis Cardinals,6,5,1,,288,230,58,Ivy,Norton,Roach,Crow,Randle,4,2,5,1,8,4,1,13,4.8,0.3,5.2,1.8,3.3
1959,NFL,Chicago Cardinals,2,10,0,,234,324,-90,Ivy,,Hill,Crow,Lewis,10,12,11,10,12,11,11,12,-7.5,-0.7,-8.2,-1.2,-7.1
1958,NFL,Chicago Cardinals,2,9,1,,261,356,-95,Ivy,,Reynolds,Matson,Lewis,5,6,11,12,12,11,11,12,-7.9,0.5,-7.4,0.8,-8.2
1957,NFL,Chicago Cardinals,3,9,0,,200,299,-99,Richards,,McHan,Matson,Nagler,10,10,11,10,10,12,10,12,-8.3,0.7,-7.6,-1.1,-6.4
1956,NFL,Chicago Cardinals,7,5,0,,240,182,58,Richards,,McHan,Matson,Stonesifer,7,8,2,7,1,4,8,12,4.8,-1.4,3.4,-0.1,3.5
1955,NFL,Chicago Cardinals,4,7,1,,224,252,-28,Richards,,McHan,Matson,Stonesifer,9,12,8,7,6,9,12,12,-2.3,3.6,1.2,-0.7,2.0
1954,NFL,Chicago Cardinals,2,10,0,,183,347,-164,Stydahar,,McHan,Matson,Matson,11,10,11,9,10,11,11,12,-13.7,-0.8,-14.5,-7.6,-6.9
1953,NFL,Chicago Cardinals,1,10,1,,190,337,-147,Stydahar,,Root,Trippi,Stonesifer,10,10,10,10,11,11,11,12,-12.3,2.6,-9.6,-3.7,-5.9
1952,NFL,Chicago Cardinals,4,8,0,,172,221,-49,Kuharich,,Trippi,Trippi,Stonesifer,12,11,3,6,7,10,8,12,-4.1,0.0,-4.1,-8.5,4.4
1951,NFL,Chicago Cardinals,3,9,0,,210,287,-77,LambeauIsbellHandler,,Trippi,Trippi,Polsfoot,10,5,9,6,6,9,6,12,-6.4,2.5,-3.9,-1.9,-1.9
1950,NFL,Chicago Cardinals,5,7,0,,233,287,-54,Lambeau,,Hardy,Harder,Shaw,9,8,7,9,7,9,10,13,-4.5,3.5,-1.0,1.8,-2.8
1949,NFL,Chicago Cardinals,6,5,1,,360,301,59,ParkerHandler,,Christman,Angsman,Kutner,2,5,7,8,2,4,7,10,4.9,,,,
1948,NFL,Chicago Cardinals*,11,1,0,Lost Champ,395,226,169,Conzelman,,Mallouf,Trippi,Kutner,1,1,3,7,1,3,4,10,14.1,,,,
1947,NFL,Chicago Cardinals*,9,3,0,Won Champ,306,231,75,Conzelman,,Christman,Angsman,Kutner,3,3,3,7,3,2,4,10,6.3,,,,
1946,NFL,Chicago Cardinals,6,5,0,,260,198,62,Conzelman,,Christman,Harder,Dewell,3,3,6,6,6,3,3,10,5.6,,,,
1945,NFL,Chicago Cardinals,1,9,0,,98,228,-130,Handler,,Christman,Seno,Rucinski,9,8,9,7,9,9,7,10,-13.0,,,,
1944,NFL,Chi/Pit Cards/Steelers,0,10,0,,108,328,-220,KieslingHandler,,Grigas,Grigas,Bova,8,8,10,10,10,10,9,11,-22.0,,,,
1943,NFL,Chicago Cardinals,0,10,0,,95,238,-143,Handler,,Cahill,Grigas,Rucinski,7,7,8,6,8,7,7,10,-14.3,,,,
1942,NFL,Chicago Cardinals,3,8,0,,98,209,-111,Conzelman,,Schwenk,Goldberg,Martin,9,6,7,7,8,9,6,10,-10.1,,,,
1941,NFL,Chicago Cardinals,3,7,1,,127,197,-70,Conzelman,,Mallouf,Goldberg,Dewell,6,4,7,6,5,6,5,10,-6.4,,,,
1940,NFL,Chicago Cardinals,2,7,2,,139,222,-83,Conzelman,,McCullough,Goldberg,Tinsley,6,8,10,6,7,8,8,10,-7.5,,,,
1939,NFL,Chicago Cardinals,1,10,0,,84,254,-170,Nevers,,Robbins,Goldberg,Smith,10,10,10,8,9,10,10,10,-15.5,,,,
1938,NFL,Chicago Cardinals,2,9,0,,111,168,-57,Creighton,,Robbins,Robbins,Tinsley,9,6,8,5,8,8,6,10,-5.2,,,,
1937,NFL,Chicago Cardinals,5,5,1,,135,165,-30,Creighton,,Coffee,Grosvenor,Tinsley,5,6,7,7,3,7,7,10,-2.7,,,,
1936,NFL,Chicago Cardinals,3,8,1,,74,143,-69,Creighton,,Vaughan,Grosvenor,Smith,8,5,5,4,2,6,5,9,-5.8,,,,
1935,NFL,Chicago Cardinals,6,4,2,,99,97,2,Creighton,,Sarboe,Russell,Smith,6,6,3,3,6,5,6,9,0.2,,,,
1934,NFL,Chicago Cardinals,5,6,0,,80,84,-4,Schissler,,Sarboe,Russell,Smith,8,10,3,1,5,7,6,11,-0.4,,,,
1933,NFL,Chicago Cardinals,1,9,1,,52,101,-49,Schissler,,Lillard,Lillard,Tipton,9,9,7,6,8,7,8,10,-4.5,,,,
1932,NFL,Chicago Cardinals,2,6,2,,72,114,-42,Chevigny,,Holmer,Holmer,Kassel,5,4,7,1,1,6,4,8,-4.2,,,,
1931,NFL,Chicago Cardinals,5,4,0,,120,128,-8,NeversAndrews,,,,,2,1,10,1,1,5,1,10,-0.9,,,,
1930,NFL,Chicago Cardinals,5,6,2,,128,132,-4,Nevers,,,,,6,1,6,1,1,6,1,11,-0.3,,,,
1929,NFL,Chicago Cardinals,6,6,1,,154,83,71,Scanlon,,,,,4,1,3,1,1,3,1,12,5.5,,,,
1928,NFL,Chicago Cardinals,1,5,0,,7,107,-100,Gillies,,,,,10,1,9,1,1,9,1,10,-16.7,,,,
1927,NFL,Chicago Cardinals,3,7,1,,69,134,-65,Chamberlin,,,,,9,1,9,1,1,9,1,12,-5.9,,,,
1926,NFL,Chicago Cardinals,5,6,1,,74,98,-24,Barry,,,,,11,1,13,1,1,12,1,22,-2.0,,,,
1925,NFL,Chicago Cardinals,11,2,1,Won Champ,230,65,165,Barry,,,,,2,1,3,1,1,2,1,20,11.8,,,,
1924,NFL,Chicago Cardinals,5,4,1,,90,67,23,Horween,,,,,10,1,7,1,1,8,1,19,2.3,,,,
1923,NFL,Chicago Cardinals,8,4,0,,161,56,105,Horween,,,,,2,1,7,1,1,2,1,20,8.8,,,,
1922,NFL,Chicago Cardinals,8,3,0,,96,50,46,Driscoll,,,,,8,1,5,1,1,7,1,18,4.2,,,,
1921,APFA,Chicago Cardinals,3,3,2,,54,53,1,Driscoll,,,,,13,1,6,1,1,11,1,21,0.1,,,,
1920,APFA,Chicago Cardinals,6,2,2,,115,43,72,Driscoll,,,,,8,1,4,1,1,8,1,14,7.2,,,,
