
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1982,NFL,Minnesota Vikings*,5,4,0,Lost Div,187,198,-11,Grant,Kramer,Kramer,Brown,White,13,14,20,19,7,16,15,28,-1.2,2.4,1.2,2.1,-1.0
1981,NFL,Minnesota Vikings,7,9,0,,325,369,-44,Grant,Brown,Kramer,Brown,Senser,13,6,21,17,25,18,10,28,-2.8,0.7,-2.0,0.0,-2.1
1980,NFL,Minnesota Vikings*,9,7,0,Lost Div,317,308,9,Grant,Blair,Kramer,Brown,Rashad,15,11,11,26,3,14,20,28,0.6,-0.9,-0.3,-0.0,-0.3
1979,NFL,Minnesota Vikings,7,9,0,,259,337,-78,Grant,Rashad,Kramer,Young,Rashad,24,19,17,18,21,22,21,28,-4.9,-2.7,-7.5,-4.5,-3.1
1978,NFL,Minnesota Vikings*,8,7,1,Lost Div,294,306,-12,Grant,Tarkenton,Tarkenton,Foreman,Rashad,12,17,20,14,24,13,15,28,-0.8,0.6,-0.2,1.0,-1.1
1977,NFL,Minnesota Vikings*,9,5,0,Lost Conf,231,227,4,Grant,Foreman,Tarkenton,Foreman,White,16,14,13,11,28,14,7,28,0.3,-1.9,-1.6,-1.0,-0.6
1976,NFL,Minnesota Vikings*,11,2,1,Lost SB,305,176,129,Grant,Foreman,Tarkenton,Foreman,White,9,6,2,6,12,5,3,28,9.2,0.1,9.3,3.7,5.7
1975,NFL,Minnesota Vikings*,12,2,0,Lost Div,377,180,197,Grant,Foreman,Tarkenton,Foreman,Gilliam,3,5,3,1,2,2,1,26,14.1,-5.2,8.9,3.5,5.4
1974,NFL,Minnesota Vikings*,10,4,0,Lost SB,310,195,115,Grant,Foreman,Tarkenton,Foreman,Lash,5,3,3,10,3,4,5,26,8.2,-2.1,6.1,3.6,2.5
1973,NFL,Minnesota Vikings*,12,2,0,Lost SB,296,168,128,Grant,Eller,Tarkenton,Foreman,Gilliam,9,7,2,12,5,5,8,26,9.1,-0.5,8.6,1.7,6.9
1972,NFL,Minnesota Vikings,7,7,0,,301,252,49,Grant,Gilliam,Tarkenton,Reed,Gilliam,12,12,11,5,6,10,7,26,3.5,2.6,6.1,2.6,3.4
1971,NFL,Minnesota Vikings*,11,3,0,Lost Div,245,139,106,Grant,Page,Cuozzo,Jones,Grim,18,23,1,2,4,4,14,26,7.6,-1.1,6.5,-3.4,9.9
1970,NFL,Minnesota Vikings*,12,2,0,Lost Div,335,143,192,Grant,Page,Cuozzo,Osborn,Washington,3,19,1,1,4,1,1,26,13.7,1.4,15.1,5.9,9.2
1969,NFL,Minnesota Vikings*,12,2,0,Lost SB,379,133,246,Grant,Page,Kapp,Osborn,Washington,1,10,1,1,3,1,2,16,17.6,0.0,17.6,6.9,10.6
1968,NFL,Minnesota Vikings*,8,6,0,Lost Div,282,242,40,Grant,Eller,Kapp,Brown,Washington,8,14,6,5,5,6,9,16,2.9,-0.2,2.7,0.3,2.4
1967,NFL,Minnesota Vikings,3,8,3,,233,294,-61,Grant,Osborn,Kapp,Osborn,Washington,14,14,7,6,9,13,12,16,-4.4,2.3,-2.1,-3.2,1.2
1966,NFL,Minnesota Vikings,4,9,1,,292,304,-12,Van Brocklin,Tingelhoff,Tarkenton,Brown,Flatley,9,4,8,5,13,9,3,15,-0.9,3.0,2.2,1.9,0.3
1965,NFL,Minnesota Vikings,7,7,0,,383,403,-20,Van Brocklin,Tingelhoff,Tarkenton,Brown,Flatley,4,4,14,7,11,9,4,14,-1.4,6.5,5.1,7.9,-2.8
1964,NFL,Minnesota Vikings,8,5,1,,355,296,59,Van Brocklin,Brown,Tarkenton,Brown,Brown,4,6,6,10,5,4,5,14,4.2,1.6,5.8,4.6,1.1
1963,NFL,Minnesota Vikings,5,8,1,,309,390,-81,Van Brocklin,Tarkenton,Tarkenton,Mason,Flatley,8,11,12,9,4,10,10,14,-5.8,0.4,-5.4,1.7,-7.1
1962,NFL,Minnesota Vikings,2,11,1,,254,410,-156,Van Brocklin,Tarkenton,Tarkenton,Mason,Mason,13,12,14,12,13,14,13,14,-11.1,4.4,-6.7,-0.8,-6.0
1961,NFL,Minnesota Vikings,3,11,0,,285,407,-122,Van Brocklin,Tarkenton,Tarkenton,McElhenny,Reichow,9,12,14,14,6,12,14,14,-8.7,2.1,-6.6,0.1,-6.8
