
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1983,NFL,Green Bay Packers,8,8,0,,429,439,-10,Starr,Dickey,Dickey,Ellis,Lofton,5,2,26,28,26,14,19,28,-0.6,-1.2,-1.9,5.2,-7.1
1982,NFL,Green Bay Packers*,5,3,1,Lost Div,226,169,57,Starr,Lofton,Dickey,Ivery,Lofton,5,12,11,8,22,8,10,28,6.3,-0.2,6.2,4.6,1.5
1981,NFL,Green Bay Packers,8,8,0,,324,361,-37,Starr,Lofton,Dickey,Ellis,Lofton,14,23,20,9,4,17,19,28,-2.3,0.6,-1.7,0.7,-2.3
1980,NFL,Green Bay Packers,5,10,1,,231,371,-140,Starr,Gray,Dickey,Ivery,Lofton,28,14,22,25,28,26,24,28,-8.8,-0.3,-9.0,-5.8,-3.2
1979,NFL,Green Bay Packers,5,11,0,,246,316,-70,Starr,Lofton,Whitehurst,Middleton,Lofton,25,25,13,23,26,21,26,28,-4.4,-2.4,-6.8,-5.3,-1.5
1978,NFL,Green Bay Packers,8,7,1,,249,269,-20,Starr,Buchanon,Whitehurst,Middleton,Lofton,22,24,8,19,8,18,26,28,-1.3,0.7,-0.6,-2.2,1.6
1977,NFL,Green Bay Packers,4,10,0,,134,219,-85,Starr,Luke,Dickey,Smith,Odom,27,27,10,18,19,22,24,28,-6.1,-2.6,-8.7,-9.1,0.4
1976,NFL,Green Bay Packers,5,9,0,,218,299,-81,Starr,Gray,Dickey,Harrell,Payne,23,26,21,14,26,20,21,28,-5.8,1.3,-4.5,-2.5,-2.0
1975,NFL,Green Bay Packers,4,10,0,,226,285,-59,Starr,Carr,Hadl,Brockington,Payne,20,23,13,16,14,17,19,26,-4.2,0.0,-4.2,-3.3,-0.9
1974,NFL,Green Bay Packers,6,8,0,,210,206,4,Devine,Hendricks,Hadl,Brockington,Staggers,21,21,5,6,16,14,14,26,0.3,-1.6,-1.3,-3.2,2.0
1973,NFL,Green Bay Packers,5,7,2,,202,259,-57,Devine,Brockington,Tagge,Brockington,Staggers,22,25,14,10,9,16,20,26,-4.1,-0.8,-4.9,-5.1,0.2
1972,NFL,Green Bay Packers*,10,4,0,Lost Div,304,226,78,Devine,Ellis,Hunter,Brockington,Dale,11,22,4,2,3,8,15,26,5.6,1.5,7.0,2.3,4.7
1971,NFL,Green Bay Packers,4,8,2,,274,298,-24,Devine,Anderson,Hunter,Brockington,Dale,13,16,18,13,21,14,15,26,-1.7,0.7,-1.0,1.4,-2.3
1970,NFL,Green Bay Packers,6,8,0,,196,293,-97,Bengtson,Anderson,Starr,Anderson,Dale,24,24,19,16,18,22,23,26,-6.9,5.1,-1.8,-2.4,0.6
1969,NFL,Green Bay Packers,8,6,0,,269,221,48,Bengtson,Wood,Horn,Williams,Dale,12,11,3,4,15,6,5,16,3.4,1.8,5.2,-0.2,5.4
1968,NFL,Green Bay Packers,6,7,1,,281,227,54,Bengtson,Anderson,Starr,Anderson,Dale,9,10,4,3,9,5,6,16,3.9,-0.3,3.5,0.1,3.5
1967,NFL,Green Bay Packers*,9,4,1,Won SB,332,209,123,Lombardi,Robinson,Starr,Grabowski,Dowler,9,9,3,1,5,3,3,16,8.8,0.6,9.4,3.1,6.3
1966,NFL,Green Bay Packers*,12,2,0,Won SB,335,163,172,Lombardi,Adderley,Starr,Taylor,Dale,4,8,1,3,2,2,4,15,12.3,1.2,13.5,3.5,10.0
1965,NFL,Green Bay Packers*,10,3,1,Won Champ,316,224,92,Lombardi,Adderley,Starr,Taylor,Dowler,8,12,1,3,1,3,12,14,6.6,5.1,11.7,1.2,10.5
1964,NFL,Green Bay Packers,8,5,1,,342,245,97,Lombardi,Taylor,Starr,Taylor,Dowler,5,5,2,1,3,3,1,14,6.9,2.4,9.3,3.6,5.7
1963,NFL,Green Bay Packers,11,2,1,,369,206,163,Lombardi,Adderley,Starr,Taylor,Dowler,2,6,2,2,5,2,2,14,11.6,-1.1,10.6,4.5,6.0
1962,NFL,Green Bay Packers*,13,1,0,Won Champ,415,148,267,Lombardi,Adderley,Starr,Taylor,McGee,1,4,1,2,1,1,1,14,19.1,0.6,19.7,8.3,11.3
