
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1984,NFL,Philadelphia Eagles,6,9,1,,278,320,-42,Campbell,Ellis,Jaworski,Montgomery,Quick,23,26,14,12,15,19,23,28,-2.6,0.2,-2.4,-4.3,1.9
1983,NFL,Philadelphia Eagles,5,11,0,,233,322,-89,Campbell,Quick,Jaworski,Oliver,Quick,28,27,8,18,23,24,25,28,-5.6,2.4,-3.1,-6.7,3.6
1982,NFL,Philadelphia Eagles,3,6,0,,191,195,-4,Vermeil,Jaworski,Jaworski,Montgomery,Carmichael,11,18,19,20,7,13,21,28,-0.4,1.1,0.7,2.7,-2.0
1981,NFL,Philadelphia Eagles*,10,6,0,Lost WC,368,221,147,Vermeil,Johnson,Jaworski,Montgomery,Carmichael,5,12,1,1,7,1,1,28,9.2,-0.5,8.7,2.0,6.7
1980,NFL,Philadelphia Eagles*,12,4,0,Lost SB,384,222,162,Vermeil,Johnson,Jaworski,Montgomery,Smith,6,8,1,2,8,1,3,28,10.1,-0.4,9.7,2.9,6.8
1979,NFL,Philadelphia Eagles*,11,5,0,Lost Div,339,282,57,Vermeil,Montgomery,Jaworski,Montgomery,Carmichael,12,15,9,9,9,6,9,28,3.6,-0.9,2.7,0.3,2.4
1978,NFL,Philadelphia Eagles*,9,7,0,Lost WC,270,250,20,Vermeil,Bergey,Jaworski,Montgomery,Carmichael,18,18,5,11,2,9,11,28,1.3,1.0,2.3,-1.1,3.4
1977,NFL,Philadelphia Eagles,5,9,0,,220,207,13,Vermeil,Bergey,Jaworski,Hogan,Carmichael,19,23,7,10,15,12,19,28,0.9,-1.5,-0.6,-2.5,1.9
1976,NFL,Philadelphia Eagles,4,10,0,,165,286,-121,Vermeil,Bergey,Boryla,Hogan,Carmichael,27,23,19,21,22,24,24,28,-8.6,-0.0,-8.7,-7.3,-1.4
1975,NFL,Philadelphia Eagles,4,10,0,,225,302,-77,McCormack,Bergey,Gabriel,Sullivan,Young,21,17,16,20,6,19,17,26,-5.5,0.9,-4.6,-4.0,-0.6
1974,NFL,Philadelphia Eagles,7,7,0,,242,217,25,McCormack,Bergey,Gabriel,Sullivan,Young,16,22,7,18,7,10,21,26,1.8,1.1,2.9,-0.0,3.0
1973,NFL,Philadelphia Eagles,5,8,1,,310,393,-83,McCormack,Gabriel,Gabriel,Sullivan,Carmichael,8,2,25,25,11,20,17,26,-5.9,1.7,-4.2,3.5,-7.7
1972,NFL,Philadelphia Eagles,2,11,1,,145,352,-207,Khayat,Bradley,Reaves,James,Jackson,26,24,22,24,22,24,23,26,-14.8,0.2,-14.6,-9.2,-5.3
1971,NFL,Philadelphia Eagles,6,7,1,,221,302,-81,KhayatWilliams,Bradley,Liske,Bull,Jackson,22,20,20,26,5,20,23,26,-5.8,1.5,-4.3,-2.7,-1.6
1970,NFL,Philadelphia Eagles,3,10,1,,241,332,-91,Williams,Snead,Snead,Pinder,Jackson,19,12,22,12,23,21,13,26,-6.5,2.0,-4.5,-0.9,-3.6
1969,NFL,Philadelphia Eagles,4,9,1,,279,377,-98,Williams,Jackson,Snead,Woodeshick,Jackson,8,7,13,14,12,14,14,16,-7.0,-1.3,-8.3,-2.4,-5.9
1968,NFL,Philadelphia Eagles,2,12,0,,202,351,-149,Kuharich,Woodeshick,Snead,Woodeshick,Hawkins,15,15,13,13,16,14,14,16,-10.6,-0.1,-10.8,-6.6,-4.2
1967,NFL,Philadelphia Eagles,6,7,1,,351,409,-58,Kuharich,Hawkins,Snead,Woodeshick,Hawkins,4,8,15,14,10,12,14,16,-4.1,-1.2,-5.3,2.2,-7.5
1966,NFL,Philadelphia Eagles,9,5,0,,326,340,-14,Kuharich,Brown,Snead,Brown,Retzlaff,5,11,11,11,9,10,12,15,-1.0,-2.0,-3.0,-0.8,-2.2
1965,NFL,Philadelphia Eagles,5,9,0,,363,359,4,Kuharich,Brown,Snead,Brown,Retzlaff,5,2,11,10,8,7,3,14,0.3,-6.3,-6.0,1.0,-7.0
1964,NFL,Philadelphia Eagles,6,8,0,,312,313,-1,Kuharich,Baughan,Snead,Gros,Retzlaff,6,4,8,9,11,8,4,14,-0.1,-3.5,-3.6,-1.5,-2.0
