
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1985,NFL,Pittsburgh Steelers,7,9,0,,379,355,24,Noll,Lipps,Malone,Pollard,Lipps,9,13,15,6,16,12,8,28,1.5,-2.0,-0.5,0.6,-1.1
1984,NFL,Pittsburgh Steelers*,9,7,0,Lost Conf,387,310,77,Noll,Stallworth,Malone,Pollard,Stallworth,8,8,11,5,11,9,6,28,4.8,-1.6,3.3,2.4,0.9
1983,NFL,Pittsburgh Steelers*,10,6,0,Lost Div,355,303,52,Noll,Lambert,Stoudt,Harris,Sweeney,14,22,7,3,12,7,9,28,3.3,-3.3,-0.1,-1.2,1.1
1982,NFL,Pittsburgh Steelers*,6,3,0,Lost WC,204,146,58,Noll,Lambert,Bradshaw,Harris,Stallworth,8,8,4,17,14,7,12,28,6.4,-1.3,5.2,3.4,1.8
1981,NFL,Pittsburgh Steelers,8,8,0,,356,297,59,Noll,Blount,Bradshaw,Harris,Stallworth,8,11,11,22,9,10,15,28,3.7,-1.0,2.7,1.2,1.5
1980,NFL,Pittsburgh Steelers,9,7,0,,352,313,39,Noll,Webster,Bradshaw,Harris,Bell,10,6,15,12,14,13,8,28,2.4,-0.2,2.3,2.4,-0.1
1979,NFL,Pittsburgh Steelers*,12,4,0,Won SB,416,262,154,Noll,Webster,Bradshaw,Harris,Stallworth,1,1,5,2,24,2,1,28,9.6,2.3,11.9,6.8,5.1
1978,NFL,Pittsburgh Steelers*,14,2,0,Won SB,356,195,161,Noll,Bradshaw,Bradshaw,Harris,Swann,5,8,1,3,5,2,5,28,10.1,-1.9,8.2,2.6,5.6
1977,NFL,Pittsburgh Steelers*,9,5,0,Lost Div,283,243,40,Noll,Bradshaw,Bradshaw,Harris,Swann,7,4,17,7,17,10,3,28,2.9,3.4,6.2,3.9,2.3
1976,NFL,Pittsburgh Steelers*,10,4,0,Lost Conf,342,138,204,Noll,Lambert,Bradshaw,Harris,Swann,5,9,1,1,2,1,1,28,14.6,0.8,15.3,5.7,9.6
1975,NFL,Pittsburgh Steelers*,12,2,0,Won SB,373,162,211,Noll,Blount,Bradshaw,Harris,Swann,5,7,2,4,11,1,5,26,15.1,-0.9,14.2,5.4,8.8
1974,NFL,Pittsburgh Steelers*,10,3,1,Won SB,305,189,116,Noll,Ham,Gilliam,Harris,Lewis,6,8,2,1,5,3,2,26,8.3,-1.5,6.8,2.3,4.5
1973,NFL,Pittsburgh Steelers*,10,4,0,Lost Div,347,210,137,Noll,Greene,Bradshaw,Harris,Shanklin,4,11,8,4,2,4,6,26,9.8,-1.6,8.2,4.5,3.8
1972,NFL,Pittsburgh Steelers*,11,3,0,Lost Conf,343,175,168,Noll,Greene,Bradshaw,Harris,Shanklin,5,13,2,8,1,2,8,26,12.0,-2.0,10.0,3.4,6.6
1971,NFL,Pittsburgh Steelers,6,8,0,,246,292,-46,Noll,Bradshaw,Bradshaw,Fuqua,Smith,17,17,17,18,19,16,20,26,-3.3,-0.3,-3.6,-1.8,-1.8
1970,NFL,Pittsburgh Steelers,5,9,0,,210,272,-62,Noll,Russell,Bradshaw,Fuqua,Shanklin,21,20,16,14,22,20,19,26,-4.4,-3.0,-7.4,-5.9,-1.5
1969,NFL,Pittsburgh Steelers,1,13,0,,218,404,-186,Noll,Jefferson,Shiner,Hoak,Jefferson,15,14,16,10,10,16,15,16,-13.3,-0.7,-14.0,-6.0,-7.9
1968,NFL,Pittsburgh Steelers,2,11,1,,244,397,-153,Austin,Jefferson,Shiner,Hoak,Jefferson,13,6,16,15,15,15,13,16,-10.9,0.9,-10.0,-3.1,-6.9
1967,NFL,Pittsburgh Steelers,4,9,1,,281,320,-39,Austin,Woodson,Nix,Shy,Wilburn,10,11,9,8,12,11,9,16,-2.8,-0.6,-3.4,-2.7,-0.7
1966,NFL,Pittsburgh Steelers,5,8,1,,316,347,-31,Austin,Jefferson,Smith,Asbury,Jefferson,7,15,12,10,7,11,13,15,-2.2,-2.3,-4.5,-1.2,-3.3
1965,NFL,Pittsburgh Steelers,2,12,0,,202,397,-195,Nixon,Ballman,Nelsen,Hoak,Ballman,14,13,12,11,14,14,14,14,-13.9,-4.4,-18.3,-10.8,-7.5
1964,NFL,Pittsburgh Steelers,5,9,0,,253,315,-62,Parker,Ballman,Brown,Johnson,Ballman,11,10,9,7,12,11,10,14,-4.4,-2.4,-6.9,-5.9,-1.0
1963,NFL,Pittsburgh Steelers,7,4,3,,321,295,26,Parker,Dial,Brown,Johnson,Dial,6,3,8,11,3,8,8,14,1.9,1.1,2.9,1.2,1.7
1962,NFL,Pittsburgh Steelers,9,5,0,,312,363,-51,Parker,Michaels,Layne,Johnson,Dial,6,9,11,8,7,9,8,14,-3.6,-3.1,-6.7,-2.1,-4.6
1961,NFL,Pittsburgh Steelers,6,8,0,,295,287,8,Parker,Michaels,Bukich,Johnson,Dial,8,11,7,2,13,9,8,14,0.6,-2.3,-1.7,-1.5,-0.3
1960,NFL,Pittsburgh Steelers,5,6,1,,240,275,-35,Parker,Tracy,Layne,Tracy,Dial,8,3,9,12,10,10,10,13,-2.9,2.2,-0.7,-1.2,0.4
