
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1983,NFL,San Diego Chargers,6,10,0,,358,462,-104,Coryell,Winslow,Fouts,Muncie,Winslow,12,1,28,26,27,26,11,28,-6.5,1.9,-4.6,1.1,-5.7
1982,NFL,San Diego Chargers*,6,3,0,Lost Div,288,221,67,Coryell,Fouts,Fouts,Muncie,Chandler,1,1,24,25,5,3,1,28,7.4,-2.1,5.3,10.6,-5.3
1981,NFL,San Diego Chargers*,10,6,0,Lost Conf,478,390,88,Coryell,Fouts,Fouts,Muncie,Joiner,1,1,26,27,13,5,6,28,5.5,-1.1,4.4,9.2,-4.7
1980,NFL,San Diego Chargers*,11,5,0,Lost Conf,418,327,91,Coryell,Fouts,Fouts,Muncie,Jefferson,4,1,18,6,25,6,1,28,5.7,0.4,6.0,6.5,-0.4
1979,NFL,San Diego Chargers*,12,4,0,Lost Div,411,246,165,Coryell,Fouts,Fouts,Williams,Jefferson,2,5,2,5,5,1,4,28,10.3,1.5,11.8,6.0,5.7
1978,NFL,San Diego Chargers,9,7,0,,355,309,46,CoryellProthro,Fouts,Fouts,Mitchell,Jefferson,6,4,21,8,27,7,4,28,2.9,0.7,3.6,4.6,-0.9
1977,NFL,San Diego Chargers,7,7,0,,222,205,17,Prothro,Washington,Harris,Young,Joiner,18,15,6,6,12,11,9,28,1.2,2.5,3.7,-1.4,5.2
1976,NFL,San Diego Chargers,6,8,0,,248,285,-37,Prothro,Joiner,Fouts,Young,Joiner,19,11,18,22,15,17,15,28,-2.6,1.5,-1.2,-1.7,0.5
1975,NFL,San Diego Chargers,2,12,0,,189,345,-156,Prothro,Fouts,Fouts,Young,Curran,25,25,20,23,11,23,26,26,-11.1,1.7,-9.4,-6.0,-3.4
1974,NFL,San Diego Chargers,5,9,0,,212,285,-73,Prothro,Woods,Fouts,Woods,Garrison,20,7,19,26,19,20,18,26,-5.2,0.4,-4.8,-3.5,-1.3
1973,NFL,San Diego Chargers,2,11,1,,188,386,-198,WallerSvare,Smith,Fouts,Edwards,LeVias,25,19,24,22,25,25,21,26,-14.1,2.1,-12.0,-3.6,-8.4
1972,NFL,San Diego Chargers,4,9,1,,264,344,-80,Svare,Edwards,Hadl,Garrett,Garrison,18,10,20,10,25,20,10,26,-5.7,2.9,-2.8,-0.2,-2.6
1971,NFL,San Diego Chargers,6,8,0,,311,341,-30,GillmanSvare,Hadl,Hadl,Garrett,Garrison,7,2,23,24,20,15,11,26,-2.1,-1.9,-4.1,2.6,-6.6
1970,NFL,San Diego Chargers,5,6,3,,282,278,4,Waller,Garrison,Hadl,Queen,Garrison,14,15,17,21,13,14,18,26,0.3,-1.0,-0.7,0.5,-1.2
1969,AFL,San Diego Chargers,8,6,0,,288,276,12,WallerGillman,Alworth,Hadl,Post,Alworth,5,2,4,6,5,4,5,10,0.9,0.7,1.5,-0.5,2.0
1968,AFL,San Diego Chargers,9,5,0,,382,310,72,Gillman,Alworth,Hadl,Post,Alworth,3,2,5,6,9,4,3,10,5.1,1.0,6.2,5.8,0.4
1967,AFL,San Diego Chargers,8,5,1,,360,352,8,Gillman,Hadl,Hadl,Post,Alworth,4,2,6,7,7,5,4,9,0.6,-0.2,0.3,3.2,-2.9
1966,AFL,San Diego Chargers,7,6,1,,335,284,51,Gillman,Alworth,Hadl,Lowe,Alworth,3,5,4,7,1,3,6,9,3.6,0.4,4.1,1.7,2.4
1965,AFL,San Diego Chargers*,9,2,3,Lost Champ,340,227,113,Gillman,Alworth,Hadl,Lowe,Alworth,1,1,2,1,3,1,1,8,8.1,-1.0,7.1,2.1,4.9
1964,AFL,San Diego Chargers*,8,5,1,Lost Champ,341,300,41,Gillman,Alworth,Hadl,Lincoln,Alworth,4,5,3,3,5,4,3,8,2.9,-0.4,2.6,0.9,1.7
1963,AFL,San Diego Chargers*,11,3,0,Won Champ,399,255,144,Gillman,Alworth,Rote,Lowe,Alworth,1,1,1,4,2,1,1,8,10.3,-1.3,9.0,4.8,4.2
1962,AFL,San Diego Chargers,4,10,0,,314,392,-78,Gillman,Harris,Hadl,Lincoln,Norton,5,6,7,4,6,6,6,8,-5.6,0.7,-4.9,0.0,-4.9
1961,AFL,San Diego Chargers*,12,2,0,Lost Champ,396,219,177,Gillman,Harris,Kemp,Lowe,Kocourek,3,3,1,1,1,2,2,8,12.6,-1.6,11.1,2.6,8.4
1960,AFL,Los Angeles Chargers*,10,4,0,Lost Champ,373,336,37,Gillman,Kemp,Kemp,Lowe,Kocourek,3,3,4,3,4,3,2,8,2.6,-0.3,2.3,2.5,-0.2
