
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1998,NFL,St. Louis Rams,4,12,0,,285,378,-93,Vermeil,Carter,Banks,Henley,Proehl,24,27,24,10,27,25,22,30,-5.8,3.5,-2.3,-2.3,-0.0
1997,NFL,St. Louis Rams,5,11,0,,299,359,-60,Vermeil,Banks,Banks,Phillips,Lee,23,21,19,17,6,23,19,30,-3.8,-0.2,-4.0,-1.8,-2.2
1996,NFL,St. Louis Rams,6,10,0,,303,409,-106,Brooks,Bruce,Banks,Phillips,Bruce,20,27,27,26,21,27,30,30,-6.6,0.3,-6.3,-1.7,-4.6
1995,NFL,St. Louis Rams,7,9,0,,309,418,-109,Brooks,Bruce,Miller,Bettis,Bruce,22,15,29,12,19,27,15,30,-6.8,0.4,-6.4,-1.8,-4.6
1994,NFL,Los Angeles Rams,4,12,0,,286,365,-79,Knox,Anderson,Miller,Bettis,Anderson,21,21,23,16,25,24,20,28,-4.9,-0.3,-5.3,-3.2,-2.1
1993,NFL,Los Angeles Rams,5,11,0,,221,367,-146,Knox,Bettis,Everett,Bettis,Ellard,26,18,25,24,23,27,22,28,-9.1,0.7,-8.4,-5.0,-3.4
1992,NFL,Los Angeles Rams,6,10,0,,313,383,-70,Knox,Everett,Everett,Gary,Ellard,12,13,27,27,19,20,22,28,-4.4,1.5,-2.9,1.1,-4.0
1991,NFL,Los Angeles Rams,3,13,0,,234,390,-156,Robinson,Everett,Everett,Delpino,Ellard,24,18,27,23,28,25,21,28,-9.8,3.7,-6.0,-2.6,-3.4
1990,NFL,Los Angeles Rams,5,11,0,,345,412,-67,Robinson,Everett,Everett,Gary,Ellard,12,5,25,21,10,22,14,28,-4.2,-0.1,-4.2,2.3,-6.5
1989,NFL,Los Angeles Rams*,11,5,0,Lost Conf,426,344,82,Robinson,Newberry,Everett,Bell,Ellard,2,4,17,21,9,7,8,28,5.1,-0.5,4.6,5.7,-1.1
1988,NFL,Los Angeles Rams*,10,6,0,Lost WC,407,293,114,Robinson,Newberry,Everett,Bell,Ellard,3,3,7,9,10,3,5,28,7.1,-0.6,6.5,5.6,0.9
1987,NFL,Los Angeles Rams,6,9,0,,317,361,-44,Robinson,White,Everett,White,Ellard,16,19,22,21,21,21,23,28,-2.9,1.1,-1.8,-0.6,-1.2
1986,NFL,Los Angeles Rams*,10,6,0,Lost WC,309,267,42,Robinson,Irvin,Everett,Dickerson,Ellard,17,23,4,5,9,10,18,28,2.6,-0.8,1.9,-1.1,2.9
1985,NFL,Los Angeles Rams*,11,5,0,Lost Conf,340,277,63,Robinson,Irvin,Brock,Dickerson,Ellard,15,26,4,5,3,7,17,28,3.9,-1.3,2.6,-1.0,3.6
1984,NFL,Los Angeles Rams*,10,6,0,Lost WC,346,316,30,Robinson,Dickerson,Kemp,Dickerson,Ellard,12,21,13,14,8,11,20,28,1.9,0.4,2.3,1.0,1.3
1983,NFL,Los Angeles Rams*,9,7,0,Lost Div,361,344,17,Robinson,Dickerson,Ferragamo,Dickerson,Barber,11,12,15,15,18,10,16,28,1.1,1.8,2.9,2.0,0.9
1982,NFL,Los Angeles Rams,2,7,0,,200,250,-50,Malavasi,Tyler,Ferragamo,Tyler,Dennard,9,6,28,27,24,25,23,28,-5.6,-1.4,-6.9,0.9,-7.9
1981,NFL,Los Angeles Rams,6,10,0,,303,351,-48,Malavasi,Cromwell,Haden,Tyler,Dennard,21,24,17,8,24,19,20,28,-3.0,0.6,-2.4,-1.4,-1.0
1980,NFL,Los Angeles Rams*,11,5,0,Lost WC,424,289,135,Malavasi,Saul,Ferragamo,Bryant,Waddy,3,2,7,4,9,3,2,28,8.4,-1.9,6.5,4.4,2.1
1979,NFL,Los Angeles Rams*,9,7,0,Lost SB,323,309,14,Malavasi,Youngblood,Haden,Tyler,Dennard,15,13,11,7,21,13,6,28,0.9,-1.5,-0.6,-1.2,0.6
1978,NFL,Los Angeles Rams*,12,4,0,Lost Conf,316,245,71,Malavasi,Youngblood,Haden,Bryant,Miller,9,6,4,1,15,6,3,28,4.4,-1.2,3.2,1.3,1.9
1977,NFL,Los Angeles Rams*,10,4,0,Lost Div,302,146,156,Knox,McCutcheon,Haden,McCutcheon,Jackson,4,5,2,4,4,1,2,28,11.1,-2.7,8.4,3.8,4.6
1976,NFL,Los Angeles Rams*,10,3,1,Lost Conf,351,190,161,Knox,Jackson,Harris,McCutcheon,Jessie,3,5,3,4,4,3,2,28,11.5,-1.0,10.5,5.9,4.5
1975,NFL,Los Angeles Rams*,12,2,0,Lost Conf,312,135,177,Knox,Youngblood,Harris,McCutcheon,Jackson,11,9,1,2,3,3,4,26,12.6,-3.5,9.1,0.5,8.7
1974,NFL,Los Angeles Rams*,10,4,0,Lost Conf,263,181,82,Knox,McCutcheon,Harris,McCutcheon,Jackson,13,9,1,3,16,6,4,26,5.9,-1.9,3.9,-0.1,4.0
1973,NFL,Los Angeles Rams*,12,2,0,Lost Div,388,178,210,Knox,McCutcheon,Hadl,McCutcheon,Jackson,1,1,4,1,1,1,1,26,15.0,-1.6,13.4,8.2,5.2
1972,NFL,Los Angeles Rams,6,7,1,,291,286,5,Prothro,Mack,Gabriel,Ellison,Snow,14,7,16,11,17,15,9,26,0.4,-0.9,-0.5,0.1,-0.6
1971,NFL,Los Angeles Rams,8,5,1,,313,260,53,Prothro,Ellison,Gabriel,Ellison,Snow,5,8,8,14,10,10,10,26,3.8,2.8,6.6,4.2,2.4
1970,NFL,Los Angeles Rams,9,4,1,,325,202,123,Allen,Olsen,Gabriel,Josephson,Snow,4,6,2,3,8,3,3,26,8.8,0.8,9.6,4.4,5.3
1969,NFL,Los Angeles Rams*,11,3,0,Lost Div,320,243,77,Allen,Gabriel,Gabriel,Smith,Snow,4,12,5,6,1,3,8,16,5.5,1.6,7.1,3.2,3.9
1968,NFL,Los Angeles Rams,10,3,1,,312,200,112,Allen,Meador,Gabriel,Ellison,Casey,5,8,3,1,2,4,3,16,8.0,0.7,8.7,2.0,6.7
1967,NFL,Los Angeles Rams*,11,1,2,Lost Div,398,196,202,Allen,Gabriel,Gabriel,Josephson,Casey,1,6,1,3,1,1,2,16,14.4,-0.9,13.6,6.6,7.0
1966,NFL,Los Angeles Rams,8,6,0,,289,212,77,Allen,Olsen,Gabriel,Bass,McDonald,10,7,2,4,3,5,6,15,5.5,0.5,6.0,-0.5,6.5
1965,NFL,Los Angeles Rams,4,10,0,,269,328,-59,Svare,McDonald,Munson,Bass,McDonald,11,8,9,4,13,12,7,14,-4.2,7.1,2.9,-1.1,4.0
1964,NFL,Los Angeles Rams,5,7,2,,283,339,-56,Svare,Jones,Munson,Wilson,Pope,8,12,12,6,10,10,11,14,-4.0,3.1,-0.9,0.2,-1.0
1963,NFL,Los Angeles Rams,5,9,0,,210,350,-140,Svare,Pardee,Gabriel,Bass,Phillips,13,13,9,8,12,13,13,14,-10.0,1.0,-9.0,-6.0,-3.0
1962,NFL,Los Angeles Rams,1,12,1,,220,334,-114,WaterfieldSvare,Bass,Bratkowski,Bass,Phillips,14,14,8,10,7,13,14,14,-8.1,4.1,-4.0,-4.6,0.6
1961,NFL,Los Angeles Rams,4,10,0,,263,333,-70,Waterfield,Phillips,Bratkowski,Arnett,Phillips,12,10,11,11,3,11,11,14,-5.0,3.5,-1.5,-1.2,-0.3
1960,NFL,Los Angeles Rams,4,7,1,,265,297,-32,Waterfield,Phillips,Wade,Arnett,Phillips,7,10,10,11,5,9,11,13,-2.7,-0.5,-3.2,1.2,-4.4
1959,NFL,Los Angeles Rams,2,10,0,,242,315,-73,Gillman,,Wade,Matson,Shofner,9,2,10,7,11,10,3,12,-6.1,3.0,-3.0,0.7,-3.8
1958,NFL,Los Angeles Rams,8,4,0,,344,278,66,Gillman,,Wade,Arnett,Shofner,2,2,8,6,8,4,3,12,5.5,0.5,6.0,5.7,0.3
1957,NFL,Los Angeles Rams,6,6,0,,307,278,29,Gillman,,Van Brocklin,Wilson,Boyd,1,1,10,9,10,4,5,12,2.4,0.3,2.7,6.1,-3.4
1956,NFL,Los Angeles Rams,4,8,0,,291,307,-16,Gillman,,Wade,Waller,Clarke,3,2,10,9,12,6,4,12,-1.3,0.7,-0.7,3.1,-3.7
1955,NFL,Los Angeles Rams*,8,3,1,Lost Champ,260,231,29,Gillman,,Van Brocklin,Waller,Fears,4,2,4,8,1,4,6,12,2.4,-3.8,-1.3,-1.2,-0.2
1954,NFL,Los Angeles Rams,6,5,1,,314,285,29,Pool,,Van Brocklin,Younger,Boyd,3,1,10,8,11,6,3,12,2.4,2.3,4.8,6.3,-1.5
1953,NFL,Los Angeles Rams,8,3,1,,366,236,130,Pool,,Van Brocklin,Towler,Hirsch,2,2,5,4,4,4,2,12,10.8,-3.3,7.5,7.5,0.0
1952,NFL,Los Angeles Rams*,9,3,0,Lost Div,349,234,115,PoolStydahar,,Van Brocklin,Towler,Fears,1,2,6,9,3,2,4,12,9.6,-0.8,8.7,5.4,3.3
1951,NFL,Los Angeles Rams*,8,4,0,Won Champ,392,261,131,Stydahar,,Van Brocklin,Towler,Hirsch,1,1,6,8,9,2,1,12,10.9,-1.8,9.1,9.2,-0.1
1950,NFL,Los Angeles Rams*,9,3,0,Lost Champ,466,309,157,Stydahar,,Van Brocklin,Davis,Fears,1,1,9,10,6,2,1,13,13.1,-7.2,5.9,12.3,-6.4
1949,NFL,Los Angeles Rams*,8,2,2,Lost Champ,360,239,121,Shaughnessy,,Waterfield,Hoerner,Fears,2,3,4,4,5,2,3,10,10.1,,,,
1948,NFL,Los Angeles Rams,6,5,1,,327,269,58,Shaughnessy,,Hardy,Hoerner,Fears,4,3,5,4,5,4,3,10,4.8,,,,
1947,NFL,Los Angeles Rams,6,6,0,,259,214,45,Snyder,,Waterfield,Washington,Benton,6,5,2,3,5,5,5,10,3.8,,,,
1946,NFL,Los Angeles Rams,6,4,1,,277,257,20,Walsh,,Waterfield,Gehrke,Benton,2,1,8,8,7,4,5,10,1.8,,,,
1945,NFL,Cleveland Rams*,9,1,0,Won Champ,244,136,108,Walsh,,Waterfield,Gehrke,Benton,3,2,3,3,2,2,2,10,10.8,,,,
1944,NFL,Cleveland Rams,4,6,0,,188,224,-36,Donelli,,Reisz,West,Benton,6,6,8,9,5,7,7,11,-3.6,,,,
1942,NFL,Cleveland Rams,5,6,0,,150,207,-57,Clark,,Hall,Magnani,Benton,6,7,6,10,6,6,10,10,-5.2,,,,
1941,NFL,Cleveland Rams,2,9,0,,116,244,-128,Clark,,Hall,Drake,Hickey,9,7,9,9,9,9,7,10,-11.6,,,,
1940,NFL,Cleveland Rams,4,6,1,,171,191,-20,Clark,,Hall,Drake,Benton,5,5,8,10,6,7,7,10,-1.8,,,,
1939,NFL,Cleveland Rams,5,5,1,,195,164,31,Clark,,Hall,Hall,Benton,4,5,6,5,5,5,5,10,2.8,,,,
1938,NFL,Cleveland Rams,4,7,0,,131,215,-84,LewisBezdek,,Snyder,Davis,Benton,6,9,10,9,7,9,9,10,-7.6,,,,
1937,NFL,Cleveland Rams,1,10,0,,75,207,-132,Bezdek,,Snyder,Drake,Drake,10,9,10,8,9,10,9,10,-12.0,,,,
