
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1988,NFL,Kansas City Chiefs,4,11,1,,254,320,-66,Gansz,Cherry,DeBerg,Okoye,Paige,23,22,15,10,17,21,18,28,-4.1,-1.6,-5.7,-6.0,0.3
1987,NFL,Kansas City Chiefs,4,11,0,,273,388,-115,Gansz,Carson,Kenney,Okoye,Carson,23,24,27,27,25,26,27,28,-7.7,-0.3,-8.0,-3.2,-4.8
1986,NFL,Kansas City Chiefs*,10,6,0,Lost WC,358,326,32,Mackovic,Maas,Kenney,Pruitt,Paige,12,28,13,8,3,11,26,28,2.0,-1.0,1.0,1.2,-0.1
1985,NFL,Kansas City Chiefs,6,10,0,,317,360,-43,Mackovic,Cherry,Kenney,Heard,Paige,18,22,18,21,5,20,22,28,-2.7,1.1,-1.6,-2.0,0.4
1984,NFL,Kansas City Chiefs,8,8,0,,314,324,-10,Mackovic,Cherry,Kenney,Heard,Carson,17,17,15,24,8,16,22,28,-0.6,1.5,0.8,-0.8,1.6
1983,NFL,Kansas City Chiefs,6,10,0,,386,367,19,Mackovic,Kenney,Kenney,Jackson,Carson,8,9,21,14,5,9,12,28,1.2,0.9,2.0,1.7,0.3
1982,NFL,Kansas City Chiefs,3,6,0,,176,184,-8,Levy,Green,Kenney,Delaney,Marshall,16,25,18,10,1,15,20,28,-0.9,0.7,-0.2,-1.9,1.6
1981,NFL,Kansas City Chiefs,9,7,0,,343,290,53,Levy,Green,Kenney,Delaney,Smith,12,17,10,17,13,11,16,28,3.3,-0.1,3.2,0.4,2.8
1980,NFL,Kansas City Chiefs,8,8,0,,319,336,-17,Levy,Barbaro,Fuller,McKnight,Marshall,14,28,19,18,2,16,26,28,-1.1,0.6,-0.5,-0.8,0.3
1979,NFL,Kansas City Chiefs,7,9,0,,238,262,-24,Levy,Barbaro,Fuller,McKnight,Smith,26,27,5,12,12,18,25,28,-1.5,2.9,1.4,-4.0,5.4
1978,NFL,Kansas City Chiefs,4,12,0,,243,327,-84,Levy,Reed,Livingston,Reed,Reed,24,15,22,20,11,26,17,28,-5.3,0.9,-4.4,-3.0,-1.4
1977,NFL,Kansas City Chiefs,2,12,0,,225,349,-124,WigginBettis,Podolak,Livingston,Podolak,White,17,16,27,28,14,27,27,28,-8.9,3.9,-4.9,0.9,-5.8
1976,NFL,Kansas City Chiefs,5,9,0,,290,376,-86,Wiggin,Lane,Livingston,Lane,White,12,7,25,27,5,21,20,28,-6.1,1.4,-4.7,2.2,-6.9
1975,NFL,Kansas City Chiefs,5,9,0,,282,341,-59,Wiggin,Thomas,Livingston,Green,Pearson,13,15,19,25,9,17,21,26,-4.2,-0.0,-4.2,-0.6,-3.7
1974,NFL,Kansas City Chiefs,5,9,0,,233,293,-60,Stram,Thomas,Dawson,Green,Pearson,18,16,21,25,6,19,20,26,-4.3,1.9,-2.4,-1.3,-1.1
1973,NFL,Kansas City Chiefs,7,5,2,,231,192,39,Stram,Lanier,Livingston,Podolak,Taylor,19,20,5,7,6,11,13,26,2.8,-1.8,0.9,-4.2,5.1
1972,NFL,Kansas City Chiefs,8,6,0,,287,254,33,Stram,Bell,Dawson,Podolak,Taylor,15,17,13,15,4,13,17,26,2.4,0.2,2.6,0.4,2.2
1971,NFL,Kansas City Chiefs*,10,3,1,Lost Div,302,208,94,Stram,Taylor,Dawson,Podolak,Taylor,8,9,5,7,8,5,7,26,6.7,-1.7,5.1,0.6,4.5
1970,NFL,Kansas City Chiefs,7,5,2,,272,244,28,Stram,Bell,Dawson,Podolak,Taylor,15,22,8,6,5,11,16,26,2.0,-0.5,1.5,-0.1,1.6
1969,AFL,Kansas City Chiefs*,11,3,0,Won SB,359,177,182,Stram,Bell,Dawson,Garrett,Taylor,2,3,1,1,3,1,1,10,13.0,-1.1,11.9,3.5,8.4
1968,AFL,Kansas City Chiefs*,12,2,0,Lost Div,371,170,201,Stram,Bell,Dawson,Holmes,Pitts,4,4,1,4,1,2,5,10,14.4,-0.4,14.0,3.8,10.1
1967,AFL,Kansas City Chiefs,9,5,0,,408,254,154,Stram,Garrett,Dawson,Garrett,Taylor,2,4,3,4,1,2,3,9,11.0,-0.7,10.3,6.0,4.2
1966,AFL,Kansas City Chiefs*,11,2,1,Lost SB,448,276,172,Stram,Taylor,Dawson,Garrett,Taylor,1,1,2,2,2,1,1,9,12.3,-1.3,11.0,9.8,1.2
1965,AFL,Kansas City Chiefs,7,5,2,,322,285,37,Stram,McClinton,Dawson,McClinton,McClinton,2,3,4,2,6,4,2,8,2.6,-0.3,2.3,1.4,0.9
1964,AFL,Kansas City Chiefs,7,7,0,,366,306,60,Stram,Dawson,Dawson,Haynes,Jackson,2,4,4,2,3,3,2,8,4.3,-0.5,3.8,2.8,1.0
1963,AFL,Kansas City Chiefs,5,7,2,,347,263,84,Stram,Holub,Dawson,McClinton,Burford,3,5,3,5,3,2,5,8,6.0,-0.7,5.2,1.0,4.2
1962,AFL,Dallas Texans*,11,3,0,Won Champ,389,233,156,Stram,Haynes,Dawson,Haynes,Burford,1,2,1,1,1,1,1,8,11.1,-1.4,9.8,3.8,5.9
1961,AFL,Dallas Texans,6,8,0,,334,343,-9,Stram,Haynes,Davidson,Haynes,Burford,4,2,5,5,5,4,3,8,-0.6,0.1,-0.6,-0.6,0.0
1960,AFL,Dallas Texans,8,6,0,,362,253,109,Stram,Headrick,Davidson,Haynes,Burford,4,5,1,2,1,1,1,8,7.8,-1.0,6.8,0.8,6.0
