
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1983,NFL,New Orleans Saints,8,8,0,,319,337,-18,Phillips,Jackson,Stabler,Rogers,Groth,17,23,12,2,20,16,10,28,-1.1,1.1,-0.0,-1.1,1.1
1982,NFL,New Orleans Saints,4,5,0,,129,160,-31,Phillips,Gary,Stabler,Rogers,Groth,26,20,8,5,19,21,13,28,-3.4,-0.3,-3.8,-5.7,1.9
1981,NFL,New Orleans Saints,4,12,0,,207,378,-171,Phillips,Rogers,Manning,Rogers,Merkens,28,25,24,11,22,27,23,28,-10.7,1.2,-9.5,-7.2,-2.3
1980,NFL,New Orleans Saints,1,15,0,,291,487,-196,StanfelNolan,Manning,Manning,Rogers,Chandler,21,17,28,28,27,28,27,28,-12.3,1.8,-10.4,-1.1,-9.4
1979,NFL,New Orleans Saints,8,8,0,,370,360,10,Nolan,Muncie,Manning,Muncie,Chandler,6,4,22,22,8,14,14,28,0.6,-1.8,-1.2,2.3,-3.5
1978,NFL,New Orleans Saints,7,9,0,,281,298,-17,Nolan,Manning,Manning,Galbreath,Childs,16,8,16,15,2,16,9,28,-1.1,-0.6,-1.7,-0.5,-1.2
1977,NFL,New Orleans Saints,3,11,0,,232,336,-104,Stram,Muncie,Manning,Muncie,Childs,15,21,26,25,21,24,25,28,-7.4,-1.7,-9.2,0.3,-9.4
1976,NFL,New Orleans Saints,4,10,0,,253,346,-93,Stram,Galbreath,Douglass,Muncie,Herrmann,17,21,23,19,7,22,23,28,-6.6,0.5,-6.1,-0.6,-5.5
1975,NFL,New Orleans Saints,2,12,0,,165,360,-195,NorthHefferle,Baumgartner,Manning,Strachan,Seal,26,26,23,13,15,26,24,26,-13.9,-0.1,-14.1,-8.2,-5.9
1974,NFL,New Orleans Saints,5,9,0,,166,263,-97,North,Colman,Manning,Maxson,Newland,24,17,14,7,11,22,15,26,-6.9,-0.4,-7.3,-5.7,-1.7
1973,NFL,New Orleans Saints,5,9,0,,163,312,-149,North,Manning,Manning,Phillips,Newland,26,22,18,23,19,24,24,26,-10.6,1.9,-8.8,-7.0,-1.7
1972,NFL,New Orleans Saints,2,11,1,,215,361,-146,Roberts,Manning,Manning,Gresham,Abramowicz,22,20,23,21,21,23,22,26,-10.4,0.2,-10.2,-5.3,-5.0
1971,NFL,New Orleans Saints,4,8,2,,266,347,-81,Roberts,Abramowicz,Hargett,Strong,Abramowicz,15,19,24,22,1,20,22,26,-5.8,3.0,-2.7,1.4,-4.1
1970,NFL,New Orleans Saints,2,11,1,,172,347,-175,RobertsFears,Abramowicz,Kilmer,Baker,Abramowicz,25,21,24,26,14,25,25,26,-12.5,4.6,-7.9,-4.6,-3.3
1969,NFL,New Orleans Saints,5,9,0,,311,393,-82,Fears,Abramowicz,Kilmer,Livingston,Abramowicz,6,3,15,15,12,13,12,16,-5.9,-1.5,-7.3,0.1,-7.4
1968,NFL,New Orleans Saints,4,9,1,,246,327,-81,Fears,Abramowicz,Kilmer,McCall,Abramowicz,12,12,11,9,8,11,12,16,-5.8,-0.7,-6.5,-3.9,-2.6
1967,NFL,New Orleans Saints,3,11,0,,233,379,-146,Fears,Whitsell,Cuozzo,Taylor,Abramowicz,14,12,13,13,10,15,15,16,-10.4,-0.4,-10.8,-6.7,-4.1
