
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1983,NFL,Detroit Lions*,9,7,0,Lost Div,347,286,61,Clark,English,Hipple,Sims,Thompson,15,18,2,11,16,6,17,28,3.8,-1.7,2.1,-1.2,3.3
1982,NFL,Detroit Lions*,4,5,0,Lost WC,181,176,5,Clark,English,Danielson,Sims,Sims,15,24,14,9,14,10,18,28,0.6,0.8,1.3,-0.4,1.7
1981,NFL,Detroit Lions,8,8,0,,397,322,75,Clark,Sims,Hipple,Sims,Scott,4,3,13,4,19,6,2,28,4.7,0.6,5.3,4.8,0.5
1980,NFL,Detroit Lions,9,7,0,,334,272,62,Clark,Sims,Danielson,Sims,Scott,11,7,5,3,11,7,5,28,3.9,-2.2,1.7,-0.8,2.5
1979,NFL,Detroit Lions,2,14,0,,219,365,-146,Clark,Baker,Komlo,Bussey,Scott,28,26,23,11,28,28,24,28,-9.1,-1.9,-11.0,-6.6,-4.4
1978,NFL,Detroit Lions,7,9,0,,290,300,-10,Clark,Bussey,Danielson,Bussey,Hill,13,21,19,7,6,11,14,28,-0.6,-1.2,-1.8,-0.1,-1.7
1977,NFL,Detroit Lions,6,8,0,,183,252,-69,Hudspeth,Hunter,Landry,King,Hill,23,26,18,8,10,20,22,28,-4.9,-2.5,-7.4,-4.4,-3.0
1976,NFL,Detroit Lions,6,8,0,,262,220,42,HudspethForzano,Landry,Landry,Bussey,Jarvis,16,14,10,3,8,12,8,28,3.0,-0.2,2.8,-0.6,3.4
1975,NFL,Detroit Lions,7,7,0,,245,262,-17,Forzano,Barney,Reed,Bussey,Jarvis,18,18,8,8,10,13,14,26,-1.2,-0.7,-1.9,-3.2,1.3
1974,NFL,Detroit Lions,7,7,0,,256,270,-14,Forzano,Munson,Munson,Taylor,Jessie,14,19,15,20,7,16,22,26,-1.0,-0.6,-1.6,0.5,-2.1
1973,NFL,Detroit Lions,6,7,1,,271,247,24,McCafferty,Barney,Munson,Taylor,Sanders,13,13,12,13,13,13,11,26,1.7,0.3,2.0,0.8,1.2
1972,NFL,Detroit Lions,8,5,1,,339,290,49,Schmidt,Landry,Landry,Taylor,Walton,6,15,17,19,9,10,16,26,3.5,0.9,4.4,4.4,0.0
1971,NFL,Detroit Lions,7,6,1,,341,286,55,Schmidt,Landry,Landry,Owens,McCullouch,3,4,16,11,15,9,5,26,3.9,0.2,4.1,6.5,-2.4
1970,NFL,Detroit Lions*,10,4,0,Lost Div,347,202,145,Schmidt,Taylor,Landry,Farr,Sanders,2,13,2,2,1,2,6,26,10.4,3.7,14.0,7.4,6.6
1969,NFL,Detroit Lions,9,4,1,,259,188,71,Schmidt,Barney,Munson,Triplett,Sanders,14,16,2,2,3,4,4,16,5.1,1.6,6.6,-1.2,7.9
1968,NFL,Detroit Lions,4,8,2,,207,241,-34,Schmidt,Barney,Munson,Farr,McCullouch,14,11,5,6,7,10,7,16,-2.4,0.5,-2.0,-5.2,3.2
1967,NFL,Detroit Lions,5,7,2,,260,259,1,Schmidt,Barney,Plum,Farr,Malinchak,12,13,5,4,13,7,8,16,0.1,1.7,1.8,-1.6,3.4
1966,NFL,Detroit Lions,4,9,1,,206,317,-111,Gilmer,Studstill,Sweetan,Nowatzke,Studstill,14,10,9,12,13,13,11,15,-7.9,3.0,-4.9,-4.7,-0.3
1965,NFL,Detroit Lions,6,7,1,,257,295,-38,Gilmer,Walker,Plum,Marsh,Barr,12,14,5,1,5,10,9,14,-2.7,6.7,4.0,-2.5,6.5
1964,NFL,Detroit Lions,7,5,2,,280,260,20,Wilson,Walker,Plum,Pietrosante,Barr,9,9,3,5,8,6,7,14,1.4,2.7,4.1,-1.4,5.4
1963,NFL,Detroit Lions,5,8,1,,326,265,61,Wilson,Lane,Morrall,Lewis,Barr,5,8,4,4,9,5,7,14,4.4,-0.6,3.7,1.6,2.1
1962,NFL,Detroit Lions,11,3,0,,315,177,138,Wilson,Lary,Plum,Lewis,Cogdill,5,8,2,1,2,2,2,14,9.9,2.5,12.4,1.5,10.9
1961,NFL,Detroit Lions,8,5,1,,270,258,12,Wilson,Lane,Ninowski,Pietrosante,Cogdill,11,9,3,3,8,7,5,14,0.9,2.5,3.3,-1.8,5.1
1960,NFL,Detroit Lions,7,5,0,,239,212,27,Wilson,Karras,Ninowski,Pietrosante,Cogdill,9,9,3,5,7,6,7,13,2.3,-1.1,1.2,-2.4,3.6
1959,NFL,Detroit Lions,3,8,1,,203,275,-72,Wilson,,Morrall,Pietrosante,Gibbons,11,10,8,4,9,9,9,12,-6.0,2.3,-3.7,-3.8,0.1
1958,NFL,Detroit Lions,4,7,1,,261,276,-15,Wilson,,Rote,Rote,Middleton,5,12,7,7,4,7,9,12,-1.3,2.3,1.1,-0.1,1.1
1957,NFL,Detroit Lions*,8,4,0,Won Champ,251,231,20,Wilson,,Layne,Johnson,Doran,6,3,7,5,3,6,4,12,1.7,0.4,2.0,0.7,1.4
1956,NFL,Detroit Lions,9,3,0,,300,188,112,Parker,,Layne,Gedman,Middleton,2,3,3,6,3,2,2,12,9.3,-0.7,8.7,2.0,6.7
1955,NFL,Detroit Lions,3,9,0,,230,275,-45,Parker,,Layne,Carpenter,Middleton,8,4,9,10,8,10,7,12,-3.8,-2.8,-6.5,-3.2,-3.4
1954,NFL,Detroit Lions*,9,2,1,Lost Champ,337,189,148,Parker,,Layne,Carpenter,Dibble,1,3,3,4,3,2,4,12,12.3,2.5,14.9,7.6,7.3
1953,NFL,Detroit Lions*,10,2,0,Won Champ,271,205,66,Parker,,Layne,Hoernschemeyer,Walker,5,5,2,5,2,5,5,12,5.5,-2.1,3.4,-0.6,4.0
1952,NFL,Detroit Lions*,9,3,0,Won Champ,344,192,152,Parker,,Layne,Hoernschemeyer,Box,2,3,1,4,1,1,2,12,12.7,-1.4,11.3,4.3,6.9
1951,NFL,Detroit Lions,7,4,1,,336,259,77,Parker,,Layne,Hoernschemeyer,Dibble,2,3,5,7,7,4,4,12,6.4,-2.1,4.3,3.7,0.5
1950,NFL,Detroit Lions,6,6,0,,321,285,36,McMillin,,Layne,Hoernschemeyer,Box,3,4,6,6,3,6,6,13,3.0,-6.5,-3.5,-0.8,-2.6
1949,NFL,Detroit Lions,4,8,0,,237,259,-22,McMillin,,Tripucka,Dudley,Mann,7,7,5,3,6,7,4,10,-1.8,,,,
1948,NFL,Detroit Lions,2,10,0,,200,407,-207,McMillin,,Enke,Wilson,Greene,7,7,10,8,9,10,9,10,-17.3,,,,
1947,NFL,Detroit Lions,3,9,0,,231,305,-74,Dorais,,LeForce,Wilson,Greene,8,7,8,10,8,8,9,10,-6.2,,,,
1946,NFL,Detroit Lions,1,10,0,,142,310,-168,Dorais,,Ryan,Wilson,Greene,9,10,10,10,10,10,10,10,-15.3,,,,
1945,NFL,Detroit Lions,7,3,0,,195,194,1,Dorais,,Fenenbock,Westfall,Greene,5,6,5,4,10,5,5,10,0.1,,,,
1944,NFL,Detroit Lions,6,3,1,,216,151,65,Dorais,,Sinkwich,Sinkwich,Diehl,4,4,4,6,3,5,6,11,6.5,,,,
1943,NFL,Detroit Lions,3,6,1,,178,218,-40,Dorais,,Sinkwich,Sinkwich,Hopp,6,6,5,7,7,6,6,10,-4.0,,,,
1942,NFL,Detroit Lions,0,11,0,,38,263,-225,KarcisEdwards,,Hopp,Sanzotta,Fisk,10,10,10,9,10,10,9,10,-20.5,,,,
1941,NFL,Detroit Lions,4,6,1,,121,195,-74,Edwards,,White,White,White,7,10,6,10,5,7,10,10,-6.7,,,,
1940,NFL,Detroit Lions,5,5,1,,138,153,-15,Clark,,White,White,Cardwell,7,6,5,2,2,6,5,10,-1.4,,,,
1939,NFL,Detroit Lions,6,5,0,,145,150,-5,Henderson,,Sloan,Shepherd,Hanneman,6,4,3,4,8,6,4,10,-0.5,,,,
1938,NFL,Detroit Lions,7,4,0,,119,108,11,Clark,,Huffman,Shepherd,Cardwell,8,5,2,4,3,4,5,10,1.0,,,,
1937,NFL,Detroit Lions,7,4,0,,180,105,75,Clark,,Shepherd,Clark,Klewicki,4,3,2,2,4,3,3,10,6.8,,,,
1936,NFL,Detroit Lions,8,4,0,,235,102,133,Clark,,Clark,Gutowsky,Ebding,2,1,2,2,8,1,1,9,11.1,,,,
1935,NFL,Detroit Lions*,7,3,2,Won Champ,191,111,80,Clark,,Presnell,Caddel,Caddel,2,3,5,1,3,4,3,9,6.7,,,,
1934,NFL,Detroit Lions,10,3,0,,238,59,179,Clark,,Clark,Clark,Ebding,2,2,1,2,1,2,2,11,13.8,,,,
1933,NFL,Portsmouth Spartans,6,5,0,,128,87,41,Clark,,Presnell,Presnell,Lumpkin,3,1,4,4,4,5,1,10,3.7,,,,
1932,NFL,Portsmouth Spartans,6,2,4,,116,71,45,Clark,,Clark,Clark,Ebding,3,5,3,1,3,3,5,8,3.8,,,,
1931,NFL,Portsmouth Spartans,11,3,0,,175,77,98,Clark,,,,,3,1,1,1,1,2,1,10,7.0,,,,
1930,NFL,Portsmouth Spartans,5,6,3,,176,161,15,Griffen,,,,,4,1,8,1,1,5,1,11,1.1,,,,
